DD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,70,61,54,48,48,54,65,76,85,90,90,86,80,72,64,57,56,61,73,86,95,99,98,92
2,83,73,63,54,48,47,53,64,75,83,87,86,82,74,66,59,54,56,64,78,92,102,106,104
3,98,89,78,66,56,48,47,52,63,72,79,82,81,76,69,61,56,53,56,66,81,95,105,110
4,109,104,94,83,70,59,50,47,52,60,67,73,75,75,70,64,58,54,52,56,67,82,96,107
5,113,114,109,100,89,76,63,53,48,51,56,61,66,69,68,64,60,55,52,51,55,66,81,94
6,106,114,117,113,106,95,82,68,56,50,50,53,56,60,63,62,60,57,53,49,48,53,64,77
7,91,105,115,119,117,111,101,87,72,59,52,50,50,53,57,59,59,57,55,51,47,46,50,60
8,73,88,104,114,119,119,114,103,89,74,62,53,49,49,52,56,58,59,58,54,49,45,44,47
9,56,70,86,102,113,118,119,114,103,89,75,61,52,49,50,55,59,62,62,60,55,49,45,43
10,45,54,68,85,99,110,116,116,110,99,86,72,59,52,51,55,61,65,68,68,65,59,52,47
11,44,45,54,68,83,97,107,112,111,104,93,80,67,56,52,54,61,68,74,77,76,71,65,58
12,51,46,48,56,69,82,94,103,106,104,96,85,72,60,52,53,59,67,76,82,85,83,78,72
13,64,56,51,53,60,70,82,92,99,100,96,87,76,64,54,51,55,64,74,84,90,92,90,85
14,78,69,61,57,59,65,73,83,90,94,93,88,78,67,56,50,51,59,69,81,90,96,96,95
15,89,82,73,66,63,65,69,76,84,89,89,86,79,69,58,50,49,54,64,75,87,95,99,99
16,97,91,83,75,70,68,70,73,79,84,86,84,79,71,60,51,48,50,58,70,81,92,98,101
17,100,96,89,82,76,72,71,73,77,81,83,82,78,71,62,53,47,47,53,63,76,87,96,100
18,101,99,94,86,80,75,73,73,76,78,80,79,76,71,63,54,47,45,48,56,69,81,92,99
19,102,101,97,91,84,78,74,72,74,76,76,76,73,69,62,54,47,43,44,49,60,74,86,95
20,101,103,101,96,89,82,77,73,72,73,73,72,70,66,61,54,48,42,41,43,51,63,77,88
21,97,103,104,101,96,89,82,76,73,71,71,69,66,63,59,54,48,43,40,39,43,52,65,78
22,89,99,104,105,102,97,90,83,77,73,70,68,64,61,58,54,49,44,41,39,39,44,54,66
23,78,90,99,105,105,102,98,91,84,77,72,67,64,61,58,55,51,47,44,41,39,40,46,54
24,66,79,91,100,104,105,103,98,91,83,76,70,65,62,60,59,56,52,49,46,42,41,42,47
25,55,67,80,92,100,104,104,102,96,89,81,74,67,63,63,63,63,61,58,54,49,45,44,45
26,48,56,68,82,93,100,103,103,99,93,85,77,69,64,64,67,70,70,69,65,60,54,50,47
27,46,49,57,70,83,93,100,102,100,95,88,80,71,64,62,66,73,78,80,78,74,67,60,55
28,50,48,50,59,72,84,93,99,100,96,90,82,73,65,60,62,70,80,87,90,88,82,75,67
29,59,53,49,51,60,72,83,92,97,96,92,85,76,66,59,57,63,75,86,95,98,96,90,82
30,73,63,55,50,51,59,71,81,89,92,91,86,78,69,60,54,56,64,78,91,101,105,103,97
31,89,78,67,58,52,52,58,68,77,84,86,84,79,71,62,54,51,54,64,80,94,104,109,109
