DD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,67,64,67,73,81,89,95,98,96,93,88,81,73,66,63,64,67,71,77,81,84,84,81,76
2,69,65,65,71,79,87,95,99,100,98,94,88,80,72,66,65,66,68,73,78,81,82,81,77
3,71,65,63,67,75,84,93,100,102,101,97,92,84,75,68,65,64,66,69,74,77,79,79,77
4,72,65,61,63,69,79,88,97,102,103,100,95,88,79,70,64,62,63,66,69,73,75,75,74
5,71,65,60,59,62,71,82,92,100,103,102,98,92,83,73,65,61,59,62,65,68,71,71,70
6,68,63,58,55,56,62,71,84,93,100,102,100,95,87,78,69,62,58,58,61,65,67,67,66
7,64,60,56,51,50,53,60,72,84,93,99,100,97,91,83,74,66,60,58,59,63,65,65,64
8,62,58,53,49,46,46,50,59,71,84,92,97,98,95,88,80,72,65,60,59,61,65,65,64
9,62,59,54,48,44,42,43,48,57,70,82,90,96,97,93,86,78,71,66,62,61,64,67,67
10,66,63,58,52,46,42,40,40,46,56,69,81,90,95,96,92,85,79,72,67,64,64,67,70
11,71,70,67,61,53,47,42,39,39,44,54,68,80,90,96,96,92,86,79,73,68,65,66,70
12,74,77,77,73,67,58,51,44,39,39,43,53,67,80,91,97,97,93,87,80,74,69,66,67
13,73,80,84,85,82,75,66,56,48,42,39,43,53,67,80,91,96,97,93,87,80,74,68,66
14,68,77,86,92,95,92,84,74,63,53,45,41,43,53,67,79,89,95,96,92,87,80,72,66
15,65,70,80,91,99,103,101,93,83,71,60,50,44,45,53,65,76,86,92,93,90,85,78,70
16,64,64,70,83,95,105,110,109,101,91,79,66,54,47,46,52,62,73,82,88,89,87,82,74
17,66,61,62,70,83,97,109,114,114,108,99,86,71,58,50,47,51,59,69,78,83,84,82,77
18,68,61,57,59,68,81,97,109,116,116,112,104,90,75,62,52,47,49,57,66,74,78,80,77
19,71,62,55,52,54,63,78,94,107,115,117,114,106,92,78,64,53,47,50,57,65,71,75,76
20,72,64,56,50,47,49,59,74,90,103,112,116,113,105,92,78,65,53,48,51,58,65,70,73
21,72,67,59,51,45,41,43,54,69,85,98,108,112,110,101,90,77,64,54,51,54,60,66,70
22,72,70,64,56,48,42,37,40,51,65,80,93,103,107,105,97,87,75,64,56,55,58,63,68
23,72,73,69,63,55,48,40,36,39,50,62,77,89,99,101,99,92,83,73,64,58,58,61,66
24,71,75,75,71,65,57,50,43,39,42,50,62,75,86,94,95,93,88,80,72,64,60,61,64
25,69,74,78,77,74,69,62,55,48,44,46,53,63,74,84,89,90,89,84,78,71,64,62,64
26,67,73,79,82,81,79,74,68,61,54,51,53,58,66,75,82,86,87,85,82,76,70,65,64
27,66,71,78,83,86,86,84,80,74,67,61,58,59,63,69,76,81,84,85,83,79,74,68,65
28,66,70,76,83,88,90,90,88,84,78,71,66,63,65,67,72,77,81,83,83,81,77,72,67
29,66,69,75,82,89,93,95,94,92,87,80,74,69,67,68,70,74,78,81,82,82,79,74,69
30,66,67,73,80,87,94,98,98,96,93,87,80,73,69,68,69,70,74,77,80,80,79,76,70
