DD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,114,111,103,93,81,69,60,57,60,64,67,69,69,65,57,49,42,36,35,40,54,70,86,100
2,110,115,113,106,96,84,71,61,58,59,61,63,65,64,59,52,44,38,32,31,37,51,67,83
3,99,110,115,113,107,97,85,72,63,59,59,60,62,63,61,57,50,43,36,31,29,36,49,64
4,82,97,108,113,112,106,97,85,72,63,60,59,60,63,64,62,58,52,46,38,32,31,37,49
5,64,81,96,106,110,110,104,95,83,71,63,60,59,62,66,67,66,63,58,51,44,38,36,42
6,52,66,82,95,103,107,106,100,91,80,69,62,60,61,66,70,72,72,70,65,58,51,46,44
7,48,58,70,84,94,101,103,102,95,86,75,65,60,60,64,70,76,79,79,77,73,67,60,55
8,53,57,65,75,85,94,98,99,96,89,79,69,61,59,62,68,76,82,85,86,85,81,75,68
9,63,62,66,71,79,87,93,96,95,90,82,72,63,58,60,65,73,81,88,91,91,90,86,80
10,74,70,70,73,77,83,89,92,92,90,83,74,64,58,57,62,69,78,87,93,95,95,93,88
11,82,77,74,75,77,80,85,89,90,88,83,75,65,57,54,57,65,74,84,92,96,97,96,93
12,87,81,77,75,76,78,82,86,87,86,82,76,66,57,52,52,58,68,78,88,95,98,98,96
13,90,84,78,75,74,76,78,81,83,83,80,75,67,57,50,48,52,60,71,82,92,97,99,97
14,93,87,80,75,72,72,74,77,79,79,76,72,65,57,49,45,45,51,62,75,86,94,98,99
15,96,91,83,77,72,70,70,73,74,74,72,68,62,56,48,42,40,43,52,64,77,88,95,98
16,98,94,88,81,75,71,69,70,72,71,69,65,60,53,46,40,37,37,42,52,66,79,89,95
17,98,97,93,86,80,75,71,69,71,71,68,64,59,53,46,39,35,33,35,42,54,68,81,90
18,97,99,97,92,86,80,75,72,71,71,70,67,62,56,49,41,35,32,31,34,43,56,70,83
19,93,99,100,97,92,86,81,76,73,72,72,71,67,62,56,48,41,35,32,32,35,44,58,73
20,86,96,101,102,98,93,87,81,75,72,72,73,73,71,67,60,52,44,38,34,34,37,46,60
21,76,89,99,104,103,99,93,86,79,73,70,71,74,76,76,73,67,59,51,44,39,37,40,49
22,64,79,92,102,105,104,99,92,84,76,70,67,70,76,81,83,82,77,68,60,51,45,42,44
23,52,67,81,94,102,105,103,97,89,80,71,65,64,69,78,86,91,91,86,78,69,60,52,48
24,48,56,69,82,93,101,103,100,93,85,75,65,60,61,69,80,90,97,99,95,88,79,69,60
25,53,53,58,69,80,91,97,98,94,88,78,68,58,54,57,67,80,93,102,105,102,96,87,77
26,66,59,56,60,68,77,87,91,91,88,81,70,60,52,49,53,65,79,94,104,109,108,103,95
27,83,72,63,59,60,66,74,82,85,84,80,72,62,51,45,43,48,61,77,93,105,111,112,108
28,99,88,76,67,60,59,65,72,77,79,78,73,64,53,44,38,37,43,57,74,91,103,111,114
29,111,102,91,79,68,60,60,64,70,73,74,72,66,57,46,38,32,31,38,53,71,88,101,111
30,114,111,103,92,80,68,61,61,64,68,70,71,68,61,52,42,34,28,27,35,50,68,85,99
31,110,113,110,102,92,80,68,62,62,65,67,69,70,66,59,50,41,33,27,26,35,49,66,83
