DD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,66,65,69,76,84,93,99,101,100,97,92,85,77,71,67,66,67,69,73,76,78,78,76,71
2,66,63,65,70,79,88,96,101,102,100,96,89,80,72,66,63,63,65,68,72,74,75,74,71
3,66,62,61,64,71,82,91,98,102,101,98,92,84,75,67,62,60,61,64,67,69,70,70,69
4,65,60,58,58,63,72,83,92,98,100,99,95,88,79,70,63,58,57,60,63,66,67,67,65
5,63,58,55,53,55,61,72,83,92,97,98,96,90,82,73,66,59,56,58,62,64,65,65,63
6,60,56,52,49,49,52,60,72,83,91,95,95,92,86,78,69,62,58,57,60,65,67,66,64
7,61,56,51,47,45,45,49,59,72,83,90,94,94,89,82,74,67,61,58,59,64,69,70,69
8,66,61,54,48,44,41,42,47,58,72,83,90,94,93,87,80,72,65,61,60,63,69,74,75
9,74,70,63,55,48,42,40,40,46,58,72,83,91,94,93,86,79,71,66,62,62,66,74,79
10,82,81,76,68,59,50,44,40,39,45,58,72,83,92,95,92,86,79,72,67,63,64,69,78
11,85,89,88,84,75,65,56,47,42,40,46,58,71,83,91,94,92,86,80,73,67,64,65,71
12,81,90,96,97,92,84,74,63,53,45,43,47,58,70,81,89,92,90,86,80,73,67,63,65
13,73,84,94,102,104,101,93,83,72,60,51,46,48,57,67,77,85,88,88,84,79,72,65,61
14,64,73,85,97,107,111,109,102,93,80,67,56,50,50,56,64,73,81,84,84,82,76,68,61
15,59,62,71,84,98,110,115,115,109,100,87,73,61,53,50,54,61,70,77,80,81,78,72,63
16,57,55,58,68,82,98,110,117,118,114,105,92,77,64,54,50,53,59,68,74,77,77,74,66
17,58,52,49,53,63,79,96,109,117,119,116,107,93,79,65,54,50,53,60,68,73,75,74,69
18,61,52,46,44,47,59,75,92,105,114,117,114,105,91,77,64,54,51,55,62,69,74,75,73
19,66,56,48,41,38,42,54,71,88,101,110,113,110,100,87,74,61,53,53,58,66,72,76,76
20,72,64,54,45,38,35,40,52,68,84,97,106,108,103,93,82,70,59,54,56,62,70,75,78
21,78,72,64,54,45,38,35,40,52,66,81,93,100,101,96,86,76,66,58,56,60,66,73,78
22,81,79,74,65,56,48,41,38,44,54,66,79,89,95,94,88,81,72,64,59,59,64,69,76
23,81,83,81,75,68,60,53,46,45,50,58,68,79,86,90,88,83,77,70,64,60,62,67,72
24,79,83,85,83,78,72,66,59,53,52,57,63,71,79,84,85,83,79,74,69,64,62,65,70
25,76,82,86,87,85,81,77,71,65,60,60,63,67,73,79,82,82,80,77,73,68,65,65,69
26,74,80,85,89,89,88,85,81,75,70,66,66,68,71,75,79,80,79,78,75,71,67,65,67
27,72,78,84,90,92,92,91,88,83,77,72,70,70,71,72,76,78,78,78,77,74,69,66,66
28,69,75,82,89,94,96,95,93,89,84,77,73,70,70,70,72,75,76,77,77,75,71,67,65
29,66,71,78,85,93,98,99,98,95,89,82,76,71,68,68,68,70,73,74,75,75,73,68,64
30,63,66,72,80,88,96,99,100,98,94,88,80,73,68,65,64,65,68,70,72,73,72,69,65
31,62,61,65,72,81,89,96,99,100,97,92,84,76,69,64,61,61,63,66,68,70,70,69,65
