DD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,60,56,52,50,52,61,72,81,87,90,90,86,80,73,66,60,57,61,70,76,80,80,77,72
2,66,59,53,49,47,50,61,72,81,87,89,87,82,75,67,61,57,58,66,77,84,88,87,83
3,75,67,59,51,46,44,49,61,72,81,87,88,85,78,70,63,58,56,61,72,84,92,96,95
4,89,80,69,59,50,44,43,49,61,72,80,85,86,82,74,67,60,56,57,64,77,90,99,103
5,101,95,85,73,62,52,45,43,49,60,70,78,82,82,78,71,65,60,57,59,67,81,94,103
6,107,107,101,91,79,67,56,47,44,49,58,66,74,78,78,74,69,64,59,57,59,68,82,95
7,105,111,111,106,97,87,74,61,51,47,49,56,62,68,72,72,70,67,63,59,56,59,68,81
8,93,105,113,115,112,105,94,81,67,55,50,50,53,57,63,67,68,67,65,61,57,54,57,65
9,78,91,104,114,118,116,111,101,87,72,60,52,49,50,55,60,64,65,65,63,58,54,51,54
10,61,73,88,103,114,119,119,115,104,90,75,62,53,49,50,54,60,64,65,65,62,56,51,48
11,50,57,69,85,101,112,119,120,115,104,90,76,62,52,49,51,57,63,67,68,67,61,54,49
12,45,46,53,66,82,98,109,116,117,111,100,87,73,60,51,51,55,63,69,73,73,70,63,55
13,49,44,43,51,64,80,95,106,112,111,105,94,81,67,56,51,54,61,70,76,80,79,74,66
14,58,50,44,43,51,63,78,91,101,106,104,97,86,73,61,52,52,58,67,77,84,87,85,79
15,71,61,52,46,46,53,64,77,89,97,99,96,88,77,64,55,50,54,63,74,84,90,92,89
16,84,75,65,56,50,50,57,66,77,87,92,93,88,79,68,57,51,51,58,68,79,89,94,95
17,93,87,78,68,60,55,56,62,69,79,85,88,86,80,70,60,53,50,54,63,74,85,93,97
18,97,94,87,79,71,64,61,62,67,73,80,83,84,80,72,63,55,51,52,58,69,79,89,95
19,98,97,93,86,79,73,68,66,68,72,76,79,81,79,73,65,58,53,52,55,63,75,84,92
20,97,99,96,91,85,79,73,70,69,72,74,76,78,77,73,66,60,54,52,53,59,69,80,88
21,96,99,99,96,90,84,78,74,71,71,73,74,74,74,72,67,61,56,52,51,54,62,73,83
22,92,98,101,100,95,90,84,78,73,71,71,72,71,70,69,66,61,57,53,51,51,55,64,76
23,85,94,101,103,101,96,91,84,78,73,71,69,68,66,65,64,61,57,54,51,49,51,57,66
24,76,86,95,102,103,101,98,92,85,78,72,69,66,63,62,61,60,57,55,53,50,49,51,57
25,65,76,86,96,101,103,102,98,92,84,77,71,65,62,60,59,59,58,57,55,53,50,50,52
26,57,65,75,86,95,100,102,101,97,90,83,75,68,62,60,59,60,60,59,58,57,54,51,51
27,52,56,64,75,86,94,98,100,99,94,87,80,72,64,60,61,63,64,64,64,62,59,55,53
28,52,52,55,64,76,86,93,97,97,95,89,82,75,67,61,60,65,69,71,72,70,67,62,58
29,54,51,50,54,65,76,85,92,95,94,90,84,76,69,62,59,63,71,77,81,81,78,72,66
30,60,54,50,49,54,65,77,85,91,93,90,85,78,70,62,58,59,68,79,86,90,90,85,77
