DD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,61,59,59,63,71,81,89,95,98,97,94,88,80,72,65,60,58,60,63,66,67,68,67,65
2,61,58,56,56,61,71,81,89,93,95,94,90,83,75,67,61,57,58,62,65,67,67,67,64
3,61,57,54,52,53,60,71,80,88,92,93,90,85,77,70,63,58,57,62,67,70,70,69,66
4,62,57,52,49,48,50,59,71,81,87,91,90,86,80,72,65,59,57,60,67,73,75,75,72
5,67,60,54,49,45,44,48,59,71,81,88,90,89,83,76,68,62,58,58,64,73,80,82,81
6,77,69,61,53,46,42,41,47,59,72,82,88,90,88,81,73,66,60,58,61,69,80,86,89
7,88,82,73,63,54,46,41,40,47,59,72,82,88,90,86,79,71,65,61,59,64,73,85,92
8,96,95,89,79,68,58,49,42,41,47,59,71,81,87,88,84,78,71,66,62,61,66,76,88
9,96,101,101,96,86,75,64,54,46,43,48,59,69,78,84,85,82,77,72,66,62,61,67,78
10,90,99,106,107,103,94,84,72,60,50,47,49,57,65,74,79,81,79,76,71,66,61,60,66
11,77,89,101,110,113,110,103,93,81,67,56,50,50,55,62,69,75,77,76,74,69,63,58,58
12,64,75,88,101,112,116,115,110,101,87,73,61,53,51,53,59,66,71,74,74,71,66,59,54
13,54,59,71,85,100,112,118,119,115,105,91,77,64,54,51,52,58,65,70,73,72,69,61,54
14,50,49,54,66,81,98,110,118,119,116,105,92,78,64,54,51,53,60,67,71,73,72,66,58
15,51,45,44,49,62,78,95,107,115,117,113,103,89,75,62,53,52,56,64,71,75,76,72,65
16,56,48,42,39,45,58,75,91,104,111,113,108,97,84,70,58,52,54,61,69,76,80,79,74
17,65,56,46,40,37,44,56,72,88,99,106,106,100,89,77,64,55,52,58,66,75,81,84,82
18,76,67,57,47,40,38,45,57,71,85,95,100,99,92,81,69,59,53,55,62,71,80,86,88
19,85,79,69,59,50,43,42,49,59,72,83,91,94,91,83,73,64,57,54,58,66,75,84,89
20,90,87,81,72,63,54,49,48,54,63,73,82,88,88,84,76,68,61,56,56,62,71,79,86
21,91,91,88,82,74,67,60,55,56,61,68,75,81,84,83,77,71,64,60,58,60,67,75,83
22,89,92,92,88,83,77,70,65,62,63,67,72,77,80,81,77,73,67,63,60,60,64,72,79
23,86,91,93,92,88,84,79,73,69,67,69,71,74,77,78,77,73,69,65,62,60,62,68,76
24,83,89,94,95,93,89,85,80,74,71,70,71,72,74,75,75,73,70,67,64,61,61,64,71
25,79,86,93,97,97,94,91,86,80,75,72,71,71,71,72,73,72,70,68,66,62,60,61,66
26,73,81,89,96,99,99,96,93,86,80,74,71,69,68,67,68,69,69,68,67,64,61,59,61
27,66,74,82,91,98,100,100,98,93,86,79,73,68,65,64,64,65,66,67,66,65,62,59,58
28,60,65,73,82,91,97,100,100,97,92,84,77,70,64,61,61,62,64,65,65,65,64,60,58
29,57,59,63,72,82,90,96,98,98,95,89,81,74,67,61,59,60,62,64,65,66,65,62,59
30,57,56,57,62,72,81,89,94,96,95,91,84,77,70,62,58,59,63,66,67,68,67,65,61
31,58,55,53,54,61,72,81,88,92,93,91,86,79,72,65,59,58,63,68,72,73,72,69,65
