DD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,64,60,60,65,70,72,72,69,62,53,45,39,37,41,52,68,84,97,106,111,110,103,93,82
2,71,63,62,65,70,75,77,76,71,62,53,45,39,37,42,54,69,84,96,104,107,104,97,88
3,77,67,62,64,69,76,80,82,79,73,65,56,48,41,40,46,57,70,84,94,101,102,98,90
4,81,71,63,62,67,74,81,85,86,82,76,68,60,51,45,45,52,61,73,85,93,97,96,91
5,83,74,65,61,63,70,78,85,89,88,85,79,71,63,55,51,52,58,66,77,86,92,94,91
6,85,76,67,61,61,66,73,81,88,91,89,86,80,73,65,58,56,58,64,71,80,87,91,90
7,86,79,70,62,59,62,69,77,85,90,91,89,85,79,72,65,61,61,64,70,76,83,87,88
8,86,81,72,64,59,60,65,73,81,88,91,91,88,84,77,70,65,63,64,69,74,80,84,86
9,85,81,74,66,60,58,61,68,77,85,91,92,91,87,82,75,69,65,65,67,72,77,81,83
10,83,80,74,67,60,56,57,62,71,81,88,92,93,91,86,80,74,69,66,66,69,74,78,79
11,80,78,73,67,60,55,53,55,62,72,82,89,93,94,92,87,81,75,70,67,68,71,75,76
12,76,75,72,66,60,54,50,49,53,61,72,82,89,94,96,93,88,83,77,72,69,69,71,73
13,73,72,70,66,60,55,50,46,46,50,59,71,80,89,95,97,95,91,86,80,74,71,71,71
14,71,70,69,66,61,56,51,46,42,43,48,57,68,79,89,96,98,96,93,88,82,77,73,71
15,70,70,69,68,64,59,54,48,43,39,40,45,54,67,79,90,96,99,98,95,89,83,78,74
16,71,70,71,71,70,66,60,54,47,41,38,39,43,53,66,80,91,97,99,98,95,89,83,77
17,72,70,72,75,76,74,70,63,55,47,41,37,37,42,53,67,81,91,97,100,98,93,87,81
18,75,70,70,76,80,83,81,76,68,58,49,42,37,36,41,53,69,82,92,98,99,96,91,85
19,78,71,69,72,81,87,90,88,82,73,62,51,43,37,35,41,54,69,82,92,98,98,94,89
20,81,74,68,68,75,86,94,97,96,89,78,67,55,45,38,36,42,55,69,82,91,96,96,92
21,85,77,70,66,68,78,90,99,103,101,94,84,72,60,48,40,37,42,54,67,80,88,93,92
22,88,81,73,66,64,68,79,92,101,106,105,99,90,78,65,52,43,39,43,53,65,76,84,88
23,88,84,76,69,64,62,67,79,91,101,106,107,103,95,84,71,58,47,42,44,52,62,72,79
24,82,82,78,71,65,60,59,64,76,88,98,105,108,106,100,89,77,64,52,45,46,52,60,67
25,73,77,76,72,66,61,56,54,60,71,83,94,103,108,108,103,94,83,70,57,50,49,53,58
26,64,70,72,71,67,62,56,50,49,55,65,77,90,101,108,109,106,98,87,74,62,54,53,54
27,58,63,68,69,68,64,58,51,45,44,50,59,72,86,98,106,108,106,100,89,77,65,58,55
28,56,60,65,69,69,67,62,55,48,42,41,46,55,69,84,96,104,107,105,99,89,77,67,60
29,58,59,65,69,72,71,69,62,54,47,41,39,44,54,68,82,94,101,104,102,95,86,76,67
30,61,61,64,70,75,77,76,72,65,56,48,42,40,45,55,69,81,91,98,100,97,91,83,73
