DD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,104,95,84,72,61,54,52,57,65,72,77,78,77,71,63,56,50,48,52,64,80,94,105,111
2,113,109,101,89,77,65,56,52,56,61,66,69,71,69,64,57,50,46,45,49,62,77,92,104
3,112,116,113,105,95,82,69,58,53,54,57,60,63,64,62,57,51,46,42,41,46,59,74,89
4,103,113,117,115,109,99,86,72,60,55,53,54,56,59,59,57,53,48,43,39,38,43,55,70
5,86,101,112,117,117,111,102,88,74,62,55,53,52,55,57,58,56,52,48,42,37,36,41,52
6,67,84,100,111,116,116,111,101,88,74,62,55,52,54,57,59,60,58,55,49,43,38,37,41
7,52,66,83,98,109,114,114,108,98,86,72,61,55,54,57,62,65,65,64,60,54,48,43,40
8,44,54,68,84,97,106,110,110,103,93,81,68,58,55,57,62,68,72,73,72,67,61,55,49
9,46,49,58,71,84,95,103,106,104,96,86,74,63,56,56,61,68,75,80,81,80,75,70,63
10,56,53,56,64,74,85,94,100,100,97,89,78,66,57,55,59,66,75,82,88,89,87,83,77
11,70,63,61,64,70,78,86,93,96,94,89,80,69,59,53,55,62,71,81,89,93,94,93,88
12,82,75,69,68,70,74,81,88,91,91,88,82,71,61,53,52,57,66,77,87,94,97,97,95
13,90,84,77,73,73,75,78,84,88,89,86,81,73,62,53,50,53,61,71,83,92,98,99,99
14,95,89,82,77,75,75,77,80,84,86,84,80,73,63,54,48,48,54,65,77,88,96,100,100
15,98,93,86,79,76,74,76,78,81,83,81,78,72,64,54,46,44,48,57,70,82,92,99,101
16,100,96,89,82,77,74,73,75,77,78,78,75,70,63,54,45,41,42,49,60,74,86,95,100
17,102,99,94,86,79,75,72,72,74,75,74,71,66,60,53,45,39,37,41,49,63,77,88,97
18,101,102,98,92,85,79,74,72,71,72,71,67,63,58,51,44,38,35,35,40,51,65,79,90
19,98,103,102,98,92,86,79,75,72,71,70,66,62,57,51,44,38,34,32,34,41,52,66,80
20,91,100,104,103,99,93,87,81,75,72,70,68,63,59,54,48,41,36,33,32,34,42,53,68
21,81,93,101,105,103,100,94,88,81,76,71,69,66,63,59,54,48,42,37,34,33,36,43,55
22,70,83,95,103,106,104,100,94,87,80,74,70,68,67,66,64,59,53,46,41,37,36,38,45
23,57,72,87,98,105,106,104,99,92,85,77,71,68,69,71,72,71,67,60,53,47,42,40,41
24,48,60,75,89,100,105,106,103,97,89,81,72,67,66,71,76,80,80,76,70,62,54,48,45
25,45,50,63,78,91,100,105,105,100,93,84,75,66,63,66,74,82,88,89,86,79,70,62,55
26,49,48,53,65,78,90,99,102,101,95,88,78,68,60,59,66,77,87,95,97,95,88,79,70
27,61,54,51,55,65,77,88,95,98,95,89,81,70,61,55,56,65,78,91,100,103,101,96,87
28,77,67,58,54,56,64,74,84,90,91,88,82,73,62,54,50,53,64,78,93,103,107,107,102
29,94,83,72,63,57,56,62,71,79,83,83,80,74,64,54,48,45,49,61,77,92,103,109,111
30,108,100,88,77,66,58,56,61,67,73,75,75,72,65,56,47,42,40,44,58,74,90,102,110
