DD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,105,98,88,77,67,63,64,66,69,72,72,68,61,53,45,36,30,30,38,51,67,83,96,104
2,105,102,95,86,76,67,64,64,66,70,73,74,70,65,58,51,43,37,37,44,55,69,83,94
3,100,101,98,92,83,74,66,63,64,67,72,76,77,74,71,65,59,51,46,46,52,61,73,84
4,92,96,97,94,88,80,71,64,63,65,69,75,79,81,80,78,73,67,61,56,56,61,68,77
5,85,91,94,93,90,83,75,67,62,63,66,72,78,83,85,85,84,80,75,69,65,65,69,74
6,81,87,90,91,90,85,78,69,63,61,63,68,76,83,87,90,90,89,85,79,74,72,72,75
7,78,83,87,89,88,85,79,71,63,59,60,65,72,80,87,92,93,93,91,86,81,77,75,76
8,78,81,85,87,87,85,80,72,64,58,57,60,67,76,85,91,95,96,95,91,86,81,77,76
9,77,78,81,84,85,83,80,74,65,58,54,55,61,70,80,89,94,97,96,94,89,83,78,75
10,74,75,77,79,81,81,78,74,67,59,53,51,55,63,73,83,91,95,97,96,92,86,80,75
11,72,71,73,75,76,77,75,71,66,59,53,49,49,54,64,75,85,92,95,96,94,89,83,76
12,72,69,69,71,72,73,71,68,64,58,52,47,45,48,55,66,77,86,92,95,95,92,86,79
13,74,69,67,69,71,71,69,66,62,57,51,46,43,43,47,56,68,79,87,92,94,93,89,83
14,77,72,68,68,70,71,70,66,62,56,50,45,41,39,41,47,57,70,80,88,93,94,91,86
15,80,75,71,68,70,73,73,70,66,60,53,47,41,38,37,40,47,60,73,83,91,94,94,90
16,85,79,74,70,69,72,75,75,72,68,61,53,46,40,37,36,40,49,63,76,86,93,96,95
17,90,84,78,73,69,70,73,78,78,76,72,65,57,49,43,39,38,41,51,65,79,89,96,98
18,95,89,83,77,71,68,69,74,79,82,82,78,72,63,55,48,43,40,44,54,68,81,91,98
19,99,95,89,82,75,68,65,67,73,81,85,88,86,80,72,63,55,48,45,47,56,70,82,92
20,98,98,94,88,80,71,64,61,64,72,82,89,95,94,90,82,73,63,55,50,51,59,70,81
21,91,96,95,91,85,76,66,58,56,60,71,82,93,100,102,99,92,83,72,61,55,55,60,70
22,79,88,92,91,87,80,70,60,52,51,56,68,82,96,105,108,106,100,91,79,68,60,58,61
23,68,77,84,87,86,81,73,62,52,46,45,52,65,81,97,108,113,112,107,97,84,73,64,59
24,61,67,75,81,83,81,75,66,54,45,39,40,47,62,80,97,109,115,116,111,100,88,76,66
25,60,61,66,74,79,79,76,69,59,47,38,33,34,43,59,78,96,108,116,117,112,101,89,76
26,65,59,61,67,74,77,77,73,65,54,42,34,29,29,39,56,76,94,106,114,115,110,99,87
27,75,64,60,63,69,75,77,76,71,62,51,40,32,26,27,38,55,74,91,104,112,112,106,96
28,84,73,63,61,65,71,75,77,76,71,62,51,41,33,27,29,39,55,73,89,101,108,107,101
29,91,81,70,63,62,66,72,76,78,77,72,64,54,45,37,32,33,43,57,73,87,98,103,101
30,95,87,77,68,62,63,67,72,77,79,79,74,67,60,52,44,39,41,50,61,74,86,95,98
31,96,90,83,74,66,62,64,68,72,77,80,80,77,73,67,60,53,49,51,57,66,77,86,92
