DD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,54,58,65,74,82,87,87,85,78,69,59,52,52,58,70,84,98,108,113,112,107,97,84,72
2,63,58,60,65,72,79,82,82,78,71,60,51,46,47,54,68,84,100,111,116,117,112,101,89
3,77,67,61,61,65,72,77,79,77,72,63,52,44,40,42,51,66,83,100,111,117,118,113,102
4,90,78,68,62,63,67,73,76,77,73,66,56,46,39,35,38,48,64,83,98,110,116,116,110
5,100,88,77,67,63,65,70,75,77,75,71,62,52,42,35,32,36,48,64,82,96,107,112,111
6,105,94,83,73,65,63,67,72,76,77,75,69,60,50,41,35,32,37,49,65,81,95,104,108
7,105,98,88,77,68,63,64,68,73,77,77,74,68,59,50,42,37,35,41,53,67,82,93,101
8,103,99,91,81,72,64,61,64,69,74,76,77,74,68,60,52,46,42,41,47,58,71,83,93
9,98,98,93,84,75,68,62,61,65,69,73,76,76,74,68,62,56,51,48,49,56,65,75,86
10,93,96,93,87,79,72,65,61,62,66,70,73,76,76,74,69,65,60,57,55,57,64,72,80
11,88,93,93,89,83,76,69,64,62,64,67,71,75,77,77,75,71,68,65,63,62,65,71,78
12,84,89,92,90,85,79,73,67,63,62,65,69,73,77,80,79,77,75,72,69,67,68,71,77
13,81,86,89,89,86,81,76,69,64,61,62,67,72,77,82,84,83,81,79,76,73,71,72,76
14,80,83,86,87,86,82,77,71,65,60,59,62,69,75,82,87,89,88,86,83,79,75,73,74
15,77,79,81,84,84,81,78,73,66,59,56,57,62,70,78,86,92,94,93,91,87,81,77,75
16,75,76,77,79,80,79,76,72,67,60,54,52,55,61,71,81,90,95,97,97,94,89,83,78
17,75,73,74,75,76,76,74,71,67,61,54,50,49,53,61,72,83,92,97,99,98,95,89,83
18,78,74,71,72,73,73,72,70,66,61,55,49,46,47,51,61,73,84,93,97,99,98,94,88
19,82,76,71,69,71,72,72,70,66,62,56,50,45,43,44,50,61,74,85,93,97,98,96,91
20,85,79,73,69,69,72,73,72,69,64,58,52,46,42,40,42,49,62,75,86,93,96,96,93
21,88,82,75,69,67,70,74,76,74,70,64,56,49,43,39,37,40,49,64,77,87,93,96,95
22,90,84,77,71,66,67,72,78,79,77,72,65,56,48,42,37,35,39,50,65,78,88,94,96
23,94,88,81,74,67,65,68,75,81,83,82,76,68,59,50,42,37,34,39,51,66,79,89,95
24,96,92,86,78,71,65,64,69,78,84,87,86,81,73,63,54,45,38,36,40,52,66,79,89
25,95,95,91,84,76,69,64,64,70,79,86,91,91,87,80,70,60,51,43,39,42,53,66,78
26,87,93,93,88,82,75,68,63,63,69,79,87,93,96,94,88,79,70,59,49,44,45,54,65
27,75,84,89,89,85,80,73,65,60,60,67,77,87,96,101,101,97,90,80,69,57,50,50,55
28,63,72,80,84,84,81,76,69,61,56,56,64,74,86,98,105,108,106,100,90,77,65,56,54
