mes,fila,DD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
mes_01,17,18,72,75,78,81,85,87,88,86,82,76,68,62,59,62,68,76,84,90,93,92,91,87,82,77
mes_01,18,19,74,73,75,77,80,83,84,83,80,76,69,61,57,57,62,70,79,88,94,96,95,93,88,82
mes_01,19,20,77,74,72,73,75,78,79,79,77,73,68,61,55,53,55,61,72,82,91,95,97,96,93,87
mes_01,20,21,81,76,72,70,71,73,75,75,73,70,66,60,54,50,49,52,61,73,83,91,95,97,95,91
mes_01,21,22,85,79,74,70,68,71,72,73,71,68,64,58,52,47,45,45,50,61,74,84,91,95,95,93
mes_01,22,23,89,82,77,71,68,68,71,72,71,68,64,58,52,46,42,41,42,49,61,75,85,91,94,94
mes_01,23,24,91,86,80,74,69,66,68,72,73,71,67,61,54,47,41,38,37,39,48,62,76,86,92,95
mes_01,24,25,94,90,83,77,71,67,66,70,75,75,73,67,61,52,45,38,35,34,37,48,63,77,87,94
mes_01,25,26,97,95,89,82,75,69,66,67,72,77,78,75,70,63,54,45,39,34,33,37,48,64,78,89
mes_01,26,27,97,99,95,89,82,75,68,65,67,73,79,81,80,76,68,58,49,42,36,33,37,49,65,79
mes_01,27,28,91,98,100,96,89,82,74,68,65,67,74,80,84,85,82,75,66,57,48,41,37,40,51,65
mes_01,28,29,79,91,98,99,95,89,82,73,66,63,66,74,82,88,92,90,85,76,67,57,47,42,44,53
mes_01,29,30,65,78,89,95,96,93,88,80,71,63,60,64,73,83,92,98,99,95,88,78,67,56,49,49
mes_01,30,31,55,65,76,86,91,92,90,84,75,66,58,56,62,72,84,96,104,107,104,99,89,76,64,56
mes_02,0,1,54,58,65,74,82,87,87,85,78,69,59,52,52,58,70,84,98,108,113,112,107,97,84,72
mes_02,1,2,63,58,60,65,72,79,82,82,78,71,60,51,46,47,54,68,84,100,111,116,117,112,101,89
mes_02,2,3,77,67,61,61,65,72,77,79,77,72,63,52,44,40,42,51,66,83,100,111,117,118,113,102
mes_02,3,4,90,78,68,62,63,67,73,76,77,73,66,56,46,39,35,38,48,64,83,98,110,116,116,110
mes_02,4,5,100,88,77,67,63,65,70,75,77,75,71,62,52,42,35,32,36,48,64,82,96,107,112,111
mes_02,5,6,105,94,83,73,65,63,67,72,76,77,75,69,60,50,41,35,32,37,49,65,81,95,104,108
mes_02,6,7,105,98,88,77,68,63,64,68,73,77,77,74,68,59,50,42,37,35,41,53,67,82,93,101
mes_02,7,8,103,99,91,81,72,64,61,64,69,74,76,77,74,68,60,52,46,42,41,47,58,71,83,93
mes_02,8,9,98,98,93,84,75,68,62,61,65,69,73,76,76,74,68,62,56,51,48,49,56,65,75,86
mes_02,9,10,93,96,93,87,79,72,65,61,62,66,70,73,76,76,74,69,65,60,57,55,57,64,72,80
mes_02,10,11,88,93,93,89,83,76,69,64,62,64,67,71,75,77,77,75,71,68,65,63,62,65,71,78
mes_02,11,12,84,89,92,90,85,79,73,67,63,62,65,69,73,77,80,79,77,75,72,69,67,68,71,77
mes_02,12,13,81,86,89,89,86,81,76,69,64,61,62,67,72,77,82,84,83,81,79,76,73,71,72,76
mes_02,13,14,80,83,86,87,86,82,77,71,65,60,59,62,69,75,82,87,89,88,86,83,79,75,73,74
mes_02,14,15,77,79,81,84,84,81,78,73,66,59,56,57,62,70,78,86,92,94,93,91,87,81,77,75
mes_02,15,16,75,76,77,79,80,79,76,72,67,60,54,52,55,61,71,81,90,95,97,97,94,89,83,78
mes_02,16,17,75,73,74,75,76,76,74,71,67,61,54,50,49,53,61,72,83,92,97,99,98,95,89,83
mes_02,17,18,78,74,71,72,73,73,72,70,66,61,55,49,46,47,51,61,73,84,93,97,99,98,94,88
mes_02,18,19,82,76,71,69,71,72,72,70,66,62,56,50,45,43,44,50,61,74,85,93,97,98,96,91
mes_02,19,20,85,79,73,69,69,72,73,72,69,64,58,52,46,42,40,42,49,62,75,86,93,96,96,93
mes_02,20,21,88,82,75,69,67,70,74,76,74,70,64,56,49,43,39,37,40,49,64,77,87,93,96,95
mes_02,21,22,90,84,77,71,66,67,72,78,79,77,72,65,56,48,42,37,35,39,50,65,78,88,94,96
